DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2020,2725.496,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2021,2789.658,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2022,2720.738,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2023,2565.143,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2014,14804.112,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2015,15741.021,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2016,15867.950,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2017,15708.524,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2018,15141.636,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2019,15386.999,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2020,14470.268,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2021,14911.940,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2022,15399.676,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2023,14989.657,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2014,75143.582,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2015,76669.118,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2016,78375.479,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2017,80418.551,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2018,82275.356,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2019,82204.334,
