,vehicle,country,year,zero_emission_vehicles_percentage
340,Passenger cars,Estonia,2014,1.566
341,Passenger cars,Estonia,2015,0.142
342,Passenger cars,Estonia,2016,0.139
343,Passenger cars,Estonia,2017,0.101
344,Passenger cars,Estonia,2018,0.315
345,Passenger cars,Estonia,2019,0.279
346,Passenger cars,Estonia,2020,1.782
347,Passenger cars,Estonia,2021,2.158
348,Passenger cars,Estonia,2022,3.375
349,Passenger cars,Estonia,2023,6.303
350,Passenger cars,Greece,2014,0.053
351,Passenger cars,Greece,2015,0.042
352,Passenger cars,Greece,2016,0.025
353,Passenger cars,Greece,2017,0.042
354,Passenger cars,Greece,2018,0.074
355,Passenger cars,Greece,2019,0.164
356,Passenger cars,Greece,2020,0.851
357,Passenger cars,Greece,2021,2.168
358,Passenger cars,Greece,2022,2.685
359,Passenger cars,Greece,2023,4.742
360,Passenger cars,Spain,2014,0.112
361,Passenger cars,Spain,2015,0.25
362,Passenger cars,Spain,2016,0.169
363,Passenger cars,Spain,2017,0.301
364,Passenger cars,Spain,2018,0.433
365,Passenger cars,Spain,2019,0.758
366,Passenger cars,Spain,2020,1.964
367,Passenger cars,Spain,2021,2.656
368,Passenger cars,Spain,2022,3.727
369,Passenger cars,Spain,2023,5.631
370,Passenger cars,Finland,2014,0.172
371,Passenger cars,Finland,2015,0.223
372,Passenger cars,Finland,2016,0.187
373,Passenger cars,Finland,2017,0.423
374,Passenger cars,Finland,2018,0.643
375,Passenger cars,Finland,2019,1.661
376,Passenger cars,Finland,2020,4.402
377,Passenger cars,Finland,2021,10.31
378,Passenger cars,Finland,2022,17.785
379,Passenger cars,Finland,2023,33.753
380,Passenger cars,France,2014,0.598
381,Passenger cars,France,2015,0.916
382,Passenger cars,France,2016,1.096
383,Passenger cars,France,2017,1.178
384,Passenger cars,France,2018,1.426
385,Passenger cars,France,2019,1.931
386,Passenger cars,France,2020,6.655
387,Passenger cars,France,2021,9.693
388,Passenger cars,France,2022,13.149
389,Passenger cars,France,2023,16.504
390,Passenger cars,Croatia,2014,0.138
391,Passenger cars,Croatia,2015,0.229
392,Passenger cars,Croatia,2016,0.153
393,Passenger cars,Croatia,2017,0.109
394,Passenger cars,Croatia,2018,0.304
395,Passenger cars,Croatia,2019,0.443
396,Passenger cars,Croatia,2020,1.772
397,Passenger cars,Croatia,2021,3.18
398,Passenger cars,Croatia,2022,2.866
399,Passenger cars,Croatia,2023,2.564
400,Passenger cars,Hungary,2014,0.047
401,Passenger cars,Hungary,2015,0.149
402,Passenger cars,Hungary,2016,0.181
403,Passenger cars,Hungary,2017,0.643
404,Passenger cars,Hungary,2018,0.95
405,Passenger cars,Hungary,2019,1.159
406,Passenger cars,Hungary,2020,2.376
407,Passenger cars,Hungary,2021,3.533
408,Passenger cars,Hungary,2022,4.217
409,Passenger cars,Hungary,2023,5.383
410,Passenger cars,Ireland,2014,0.23
411,Passenger cars,Ireland,2015,0.38
412,Passenger cars,Ireland,2016,0.269
413,Passenger cars,Ireland,2017,0.472
414,Passenger cars,Ireland,2018,0.973
415,Passenger cars,Ireland,2019,2.906
416,Passenger cars,Ireland,2020,4.41
417,Passenger cars,Ireland,2021,8.469
418,Passenger cars,Ireland,2022,14.748
419,Passenger cars,Ireland,2023,18.466
420,Passenger cars,Italy,2014,0.084
421,Passenger cars,Italy,2015,0.098
422,Passenger cars,Italy,2016,0.08
423,Passenger cars,Italy,2017,0.105
424,Passenger cars,Italy,2018,0.267
425,Passenger cars,Italy,2019,0.545
426,Passenger cars,Italy,2020,2.152
427,Passenger cars,Italy,2021,4.555
428,Passenger cars,Italy,2022,3.666
429,Passenger cars,Italy,2023,4.161
430,Passenger cars,Lithuania,2014,0.068
431,Passenger cars,Lithuania,2015,0.188
432,Passenger cars,Lithuania,2016,0.378
433,Passenger cars,Lithuania,2017,0.225
434,Passenger cars,Lithuania,2018,0.65
435,Passenger cars,Lithuania,2019,0.683
436,Passenger cars,Lithuania,2020,1.174
437,Passenger cars,Lithuania,2021,4.526
438,Passenger cars,Lithuania,2022,6.249
439,Passenger cars,Lithuania,2023,8.226
440,Passenger cars,Luxembourg,2014,0.05
441,Passenger cars,Luxembourg,2015,0.096
442,Passenger cars,Luxembourg,2016,0.32
443,Passenger cars,Luxembourg,2017,0.702
444,Passenger cars,Luxembourg,2018,0.931
445,Passenger cars,Luxembourg,2019,1.792
446,Passenger cars,Luxembourg,2020,5.472
447,Passenger cars,Luxembourg,2021,10.479
448,Passenger cars,Luxembourg,2022,15.187
449,Passenger cars,Luxembourg,2023,22.475
450,Passenger cars,Latvia,2014,1.32
451,Passenger cars,Latvia,2015,0.118
452,Passenger cars,Latvia,2016,0.113
453,Passenger cars,Latvia,2017,0.24
454,Passenger cars,Latvia,2018,0.453
455,Passenger cars,Latvia,2019,0.625
456,Passenger cars,Latvia,2020,2.557
457,Passenger cars,Latvia,2021,3.282
458,Passenger cars,Latvia,2022,6.395
459,Passenger cars,Latvia,2023,8.828
460,Passenger cars,Malta,2014,0.465
461,Passenger cars,Malta,2015,0.32
462,Passenger cars,Malta,2016,0.26
463,Passenger cars,Malta,2017,0.308
464,Passenger cars,Malta,2018,3.486
465,Passenger cars,Malta,2019,3.65
466,Passenger cars,Malta,2020,3.867
467,Passenger cars,Malta,2021,7.923
468,Passenger cars,Malta,2022,15.398
469,Passenger cars,Malta,2023,20.31
470,Passenger cars,Netherlands,2014,0.751
471,Passenger cars,Netherlands,2015,0.715
472,Passenger cars,Netherlands,2016,1.044
473,Passenger cars,Netherlands,2017,1.922
474,Passenger cars,Netherlands,2018,5.41
475,Passenger cars,Netherlands,2019,13.859
476,Passenger cars,Netherlands,2020,20.54
477,Passenger cars,Netherlands,2021,19.787
478,Passenger cars,Netherlands,2022,23.5
479,Passenger cars,Netherlands,2023,30.843
480,Passenger cars,Poland,2014,0.028
481,Passenger cars,Poland,2015,0.031
482,Passenger cars,Poland,2016,0.037
483,Passenger cars,Poland,2017,0.103
484,Passenger cars,Poland,2018,0.128
485,Passenger cars,Poland,2019,0.26
486,Passenger cars,Poland,2020,0.849
487,Passenger cars,Poland,2021,1.589
488,Passenger cars,Poland,2022,2.688
489,Passenger cars,Poland,2023,3.595
490,Passenger cars,Portugal,2014,0.138
491,Passenger cars,Portugal,2015,0.387
492,Passenger cars,Portugal,2016,0.395
493,Passenger cars,Portugal,2017,0.853
